,Code,SpeciesCode,Type,Status,LifeForm,Volunteer
67,UNK SM FUZZ CRUMPLY,UNK,Plant,Alive,NA,NA
68,GALAPA,GALAPA,Plant,Alive,NA,NA
69,UNK 01 PURPLE UNDERSIDE,UNK,Plant,Alive,NA,NA
70,BROSPC,BROSPP,Plant,Alive,NA,NA
71,STIPUL,STIPUL,Plant,Alive,NA,NA
72,FESMUE,FESMYE,Plant,Alive,NA,NA
73,STEDIE,STEDIE,Plant,Alive,NA,NA
74,V(ARTCAL),ARTCAL,Plant,Alive,NA,Volunteer
75,V(ENCCAL),ENCCAL,Plant,Alive,NA,Volunteer
76,ARTICAL,ARTCAL,Plant,Alive,NA,NA
77,PIRECH,PICECH,Plant,Alive,NA,NA
78,CALCIL,CALCIL,Plant,Alive,NA,NA
79,UNK(FORB),UNK,Plant,Alive,Forb,NA
80,DPL(STIPUL),STIPUL,Plant,Dead,NA,NA
81,EROSPP,EROSPP,Plant,Alive,NA,NA
82,PICCEH,PICECH,Plant,Alive,NA,NA
83,URTURE,URTURE,Plant,Alive,NA,NA
84,AVESPP,AVESPP,Plant,Alive,NA,NA
85,EROFAS,ERIFAS,Plant,Alive,NA,NA
86,BROSPP,BROSPP,Plant,Alive,NA,NA
87,EROSMOS,EROMOS,Plant,Alive,NA,NA
88,CONBON,CONBON,Plant,Alive,NA,NA
89,BROHUR,BROHOR,Plant,Alive,NA,NA
90,UNK GRASS,UNK,Plant,Alive,Grass,NA
91,POLAVI,POLAVI,Plant,Alive,NA,NA
92,PHAMIN,PHAMIN,Plant,Alive,NA,NA
93,V(ERIFAS),ERIFAS,Plant,Alive,NA,Volunteer
94,PHACIL,PHACIL,Plant,Alive,NA,NA
95,AVEBAR,AVEBAR,Plant,Alive,NA,NA
96,SILMAR,SILMAR,Plant,Alive,NA,NA
97,UNK grass,UNK,Plant,Alive,Grass,NA
98,D(BRANIG),BRANIG,Plant,Dead,NA,NA
99,NA,NA,NA,NA,NA,NA
100,W,W,Ground,NA,NA,NA
101,D(EROSPP),EROSPP,Plant,Dead,NA,NA
102,CENMEN,CENMEL,Plant,Alive,NA,NA
103,D(UNK grass),UNK,Plant,Dead,Grass,NA
104,BACPIL,BACPIL,Plant,Alive,NA,NA
105,F,F,Ground,NA,NA,NA
106,UNKgrass1,UNK,Plant,Alive,Grass,NA
107,UNKgrass2,UNK,Plant,Alive,Grass,NA
108,Unk,UNK,Plant,Alive,NA,NA
109,SILENESPP,SILSPP,Plant,Alive,NA,NA
110,EROSB,EROSPP,Plant,Alive,NA,NA
111,T,T,Ground,NA,NA,NA
